DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/01/2016,0:09,BROOKLYN,11205,,,,,,1042      BEDFORD AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3514156,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,0:09,BROOKLYN,11221,,,,,,1115      GREENE AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512140,PASSENGER VEHICLE,,,,
09/01/2016,0:09,BROOKLYN,11234,,,,EAST 55 STREET,AVENUE U,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511962,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,0:09,MANHATTAN,10019,,,,WEST 57 STREET,AVENUE OF THE AMERICAS,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3514532,PASSENGER VEHICLE,PICK-UP TRUCK,,,
09/01/2016,0:09,MANHATTAN,10025,,,,MORNINGSIDE DRIVE,WEST 115 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,3513239,PASSENGER VEHICLE,,,,
09/01/2016,0:09,QUEENS,11432,,,,,,172-03    HIGHLAND AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512268,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,0:09,,,,,,BREWER BOULEVARD,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512347,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,0:09,,,,,,FLATLANDS AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511353,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,0:09,,,,,,GRAND CENTRAL PARKWAY,MAIN STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511542,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/25/2016,10:08,MANHATTAN,10018,,,,,,572       8 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3507289,OTHER,SMALL COM VEH(4 TIRES),,,
08/25/2016,10:08,STATEN ISLAND,10312,,,,,,3237      RICHMOND AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3507913,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/25/2016,10:08,,,,,,EAST 23 STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3507276,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/25/2016,10:08,,,,,,EASTERN PARKWAY,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3506929,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/01/2016,8:45,,,40.7031657,-73.8166124,"(40.7031657, -73.8166124)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3472420,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
07/01/2016,8:45,,,40.8201469,-73.890643,"(40.8201469, -73.890643)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3472031,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
07/01/2016,8:45,,,,,,BEACH 83 STREET,BEACH CHANNEL DRIVE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3472399,PASSENGER VEHICLE,OTHER,,,
07/01/2016,8:52,BROOKLYN,11226,40.6524883,-73.952663,"(40.6524883, -73.952663)",ROGERS AVENUE,LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3477657,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/17/2016,15:09,BROOKLYN,11234,,,,FLATLANDS AVENUE,EAST 58 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3523403,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
09/17/2016,15:09,BROOKLYN,11235,,,,NOSTRAND AVENUE,EMMONS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3524408,PASSENGER VEHICLE,,,,
09/17/2016,15:09,MANHATTAN,10024,,,,AMSTERDAM AVENUE,WEST 80 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,3522995,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
09/17/2016,15:09,QUEENS,11354,,,,38 AVENUE,PARSONS BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3521707,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/17/2016,15:09,QUEENS,11355,,,,MAPLE AVENUE,MAIN STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3521709,SPORT UTILITY / STATION WAGON,,,,
09/17/2016,15:09,,,,,,JEFFERSON STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3522711,PICK-UP TRUCK,PASSENGER VEHICLE,,,
09/17/2016,15:09,,,40.827335,-73.8497904,"(40.827335, -73.8497904)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3522206,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/17/2016,15:09,MANHATTAN,10000,,,,,,7401      EAST DRIVE,1,0,1,0,0,0,0,0,Traffic Control Disregarded,,,,,3522836,BICYCLE,,,,
09/17/2016,15:09,BROOKLYN,11226,,,,CLARENDON ROAD,EAST 23 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3523471,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
09/17/2016,16:09,BRONX,10458,,,,3 AVENUE,BASSFORD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3522122,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,14:09,BRONX,10459,,,,BRUCKNER EXPRESSWAY,HUNTS POINT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3513321,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,14:09,BROOKLYN,11207,,,,,,690       HEGEMAN AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512074,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,14:09,BROOKLYN,11219,,,,12 AVENUE,58 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511971,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,14:09,BROOKLYN,11221,,,,BROADWAY,QUINCY STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512867,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,14:09,BROOKLYN,11231,,,,CARROLL STREET,CLINTON STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512113,PICK-UP TRUCK,PASSENGER VEHICLE,,,
09/01/2016,14:09,,,,,,WYTHE AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512880,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,15:09,BROOKLYN,11207,,,,SCHENCK AVENUE,BLAKE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3513552,PASSENGER VEHICLE,VAN,,,
09/01/2016,15:09,BROOKLYN,11249,,,,,,405       BERRY STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512166,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,15:09,MANHATTAN,10017,,,,WEST 42 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3513100,PASSENGER VEHICLE,,,,
09/01/2016,15:09,QUEENS,11369,,,,23 AVENUE,90 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511653,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,15:09,QUEENS,11435,,,,,,145-10    LIBERTY AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512201,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,15:09,,,,,,8 AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3513101,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
